amount, category, timestamp
500.00, Healthcare, 2026-05-03
400.00, Food, 2026-05-03
900.00, Shopping, 2026-05-03
800.00, Utilities, 2026-05-05
500.00, Utilities, 2026-05-04
49.00, Transportation, 2026-05-05
7000.00, Healthcare, 2026-05-04
1234.00, Transportation, 2026-05-05
7777.00, Healthcare, 2026-05-06
50000000000000.00, Food, 2026-06-09
333333333333.00, Shopping, 2026-06-09
444444444444444440000000.00, Transportation, 2026-06-10
55555555555555555000000.00, Shopping, 2026-06-11
100000000000000000.00, Shopping, 2026-06-12
10000000000000000000.00, Food, 2026-06-12
100000000000000000000000.00, Food, 2026-06-12
